리뷰,rep,index,Processing
조은데 여기보다 암사쪽으루 가면 더조아요,0,64,"['좋다', '보다', '암', '쪽', '으', '루', '가면', '더', '좋다']"
사람도 덜많아요,1,64,"['사람', '도', '덜', '많다']"
잠실로갈수록 사람많고 암사쪽으로 갈수록 사람적고 자연적이고 좋아요,2,64,"['잠실', '갈수록', '사람', '많다', '암', '쪽', '갈수록', '사람', '적', '고', '자연', '적', '이고', '좋다']"
"자전거 타다가 쉬기 딱 좋은 자리에 있는데, 쓰레기통이 테이블에서 가까워요.",0,65,"['자전거', '타', '다가', '쉬다', '좋다', '자리', '쓰레기통', '테이블', '가깝다']"
"날벌레와 냄새, 담배꽁초들 아쉬워요",1,65,"['날', '벌레', '냄새', '담배', '꽁초', '아쉽다']"
"시민들의 낭만적인 공원  연인들데이트
가족들 산책  강아지두",0,66,"['시민', '낭만', '적', '인', '공원', '연인', '데이트', '\r\n', '가족', '산책', '강아지', '두']"
진정한 모두의 놀이터~,0,67,"['진정하다', '놀이터']"
라이딩 하기 좋네요.,0,68,"['라이딩', '하다', '좋다']"
"한강변의 광나루공원
봄의 전령이 살포시 내려오고 있어요",0,69,"['한', '강변', '광나루', '공원', '\r\n', '봄', '전령', '살포시', '내려오다']"
"햇살과 시원한 바람, 한강의 여유로움에 자연의 푸르름이어우러진 멋진 장소입니다.",0,70,"['햇살', '시원하다', '바람', '한강', '여유', '로움', '자연', '푸르다', '름', '어우러지다', '멋지다', '장소', '이다']"
이런 장소가 가까운우리 주변에 있는 게 고마울 따름입니다.,1,70,"['이렇다', '장소', '가깝다', '주변', '게', '고맙다', '따름', '이다']"
"여러종류의 운동시설이 다양하고 푸른 나무들이
많이있어 쉬기좋네요",0,71,"['여러', '종류', '운동', '시설', '다양하다', '푸른', '나무', '\r\n', '많이', '쉬다', '좋다']"
아이와 함께놀기 매우 좋습니다.,0,72,"['놀다', '매우', '좋다']"
자연을 잘보살피고 있는곳,0,73,"['자연', '잘', '보살피다', '곳']"
주차장이 있어 들어갔는데 여의도처럼 잔디있고 바로 앞에 한강있고 이런게 아니라 운동트랙이 있다.,0,74,"['주차장', '들어가다', '여의도', '처럼', '잔디', '앞', '한강', '이렇다', '아니다', '운동', '트랙']"
거의 동네주민이 조깅을 하려고 있는 한강공원이다.,1,74,"['동', '주민', '조깅', '하다', '한강', '공원', '이다']"
